510628;NOVO SÃO JOAQUIM;MT;GARÇAS ARAGUAIA;BARRA DO GARÇAS;LESTE;204km;500km;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/MatoGrosso_Municip_NovoSaoJoaquim.svg/1200px-MatoGrosso_Municip_NovoSaoJoaquim.svg.png
510629;PARANAÍTA;MT;ALTO TAPAJÓS;ALTA FLORESTA;NORTE;60km;860km;https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/MatoGrosso_Municip_Paranaita.svg/300px-MatoGrosso_Municip_Paranaita.svg.png
510630;PARANATINGA;MT;SUL MATOGROSSENSE;RONDONÓPOLIS;SUL;244km;420km;https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/MatoGrosso_Municip_Paranatinga.svg/300px-MatoGrosso_Municip_Paranatinga.svg.png
510637;PEDRA PRETA;MT;SUL MATOGROSSENSE;RONDONÓPOLIS;SUL;30km;250km;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/MatoGrosso_Municip_PedraPreta.svg/300px-MatoGrosso_Municip_PedraPreta.svg.png
510642;PEIXOTO DE AZEVEDO;MT;VALE DO PEIXOTO;PEIXOTO DE AZEVEDO;NORTE;0km;700km;https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/MatoGrosso_Municip_PeixotodeAzevedo.svg/300px-MatoGrosso_Municip_PeixotodeAzevedo.svg.png
510645;PLANALTO DA SERRA;MT;BAIXADA CUIABANA;CUIABÁ;CENTRO NORTE;270km;270km;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/MatoGrosso_Municip_PlanaltodaSerra.svg/300px-MatoGrosso_Municip_PlanaltodaSerra.svg.png
510650;POCONÉ;MT;BAIXADA CUIABANA;CUIABÁ;CENTRO NORTE;110km;110km;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/MatoGrosso_Municip_Pocone.svg/300px-MatoGrosso_Municip_Pocone.svg.png
510665;PONTAL DO ARAGUAIA;MT;GARÇAS ARAGUAIA;BARRA DO GARÇAS;LESTE;2km;530km;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/MatoGrosso_Municip_PontaldoAraguaia.svg/300px-MatoGrosso_Municip_PontaldoAraguaia.svg.png
510670;PONTE BRANCA;MT;GARÇAS ARAGUAIA;BARRA DO GARÇAS;LESTE;154km;510km;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/MatoGrosso_Municip_PonteBranca.svg/1200px-MatoGrosso_Municip_PonteBranca.svg.png
510675;PONTES E LACERDA;MT;SUDOESTE MATOGROSSENSE;PONTES E LACERDA;OESTE;0km;720km;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/MatoGrosso_Municip_PonteseLacerda.svg/300px-MatoGrosso_Municip_PonteseLacerda.svg.png
